# source: /Users/mac/Documents/MOF/img/anie.202306048/anie.202306048_s13.png
# doi: 10.1002/anie.202306048  figure: Figure S13
# legend:   (match: )
# x: 2-Theat (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.7425,0.038690
5.7989,0.038690
5.8553,0.037202
5.9117,0.037202
5.9680,0.035714
6.0244,0.035714
6.0808,0.034226
6.1372,0.034226
6.1936,0.034226
6.2500,0.034226
6.3064,0.034226
6.3628,0.032738
6.4192,0.032738
6.4756,0.032738
6.5320,0.032738
6.5883,0.032738
6.6447,0.032738
6.7011,0.032738
6.7575,0.032738
6.8139,0.032738
6.8703,0.032738
6.9267,0.032738
6.9831,0.034226
7.0395,0.034226
7.0959,0.041667
7.1523,0.044643
7.2086,0.046131
7.2650,0.046131
7.3214,0.046131
7.3778,0.046131
7.4342,0.044643
7.4906,0.044643
7.5470,0.044643
7.6034,0.043155
7.6598,0.041667
7.7162,0.034226
7.7726,0.034226
7.8289,0.034226
7.8853,0.034226
7.9417,0.034226
7.9981,0.035714
8.0545,0.034226
8.1109,0.034226
8.1673,0.035714
8.2237,0.035714
8.2801,0.035714
8.3365,0.035714
8.3929,0.035714
8.4492,0.035714
8.5056,0.037202
8.5620,0.038690
8.6184,0.041667
8.6748,0.049107
8.7312,0.063988
8.7876,0.087798
8.8440,0.151786
8.9004,0.211310
8.9568,0.215774
9.0132,0.221726
9.0695,0.236607
9.1259,0.254464
9.1823,0.254464
9.2387,0.239583
9.2951,0.223214
9.3515,0.215774
9.4079,0.212798
9.4643,0.209821
9.5207,0.205357
9.5771,0.084821
9.6335,0.059524
9.6898,0.046131
9.7462,0.041667
9.8026,0.040179
9.8590,0.037202
9.9154,0.037202
9.9718,0.035714
10.0282,0.035714
10.0846,0.035714
10.1410,0.035714
10.1974,0.037202
10.2538,0.037202
10.3102,0.038690
10.3665,0.047619
10.4229,0.084821
10.4793,0.095238
10.5357,0.096726
10.5921,0.096726
10.6485,0.096726
10.7049,0.096726
10.7613,0.086310
10.8177,0.058036
10.8741,0.044643
10.9305,0.038690
10.9868,0.041667
11.0432,0.081845
11.0996,0.093750
11.1560,0.096726
11.2124,0.098214
11.2688,0.133929
11.3252,0.203869
11.3816,0.205357
11.4380,0.206845
11.4944,0.206845
11.5508,0.206845
11.6071,0.206845
11.6635,0.159226
11.7199,0.211310
11.7763,0.227679
11.8327,0.229167
11.8891,0.224702
11.9455,0.217262
12.0019,0.214286
12.0583,0.211310
12.1147,0.209821
12.1711,0.208333
12.2274,0.206845
12.2838,0.156250
12.3402,0.087798
12.3966,0.052083
12.4530,0.044643
12.5094,0.040179
12.5658,0.038690
12.6222,0.044643
12.6786,0.046131
12.7350,0.046131
12.7914,0.046131
12.8477,0.044643
12.9041,0.043155
12.9605,0.037202
13.0169,0.035714
13.0733,0.037202
13.1297,0.038690
13.1861,0.038690
13.2425,0.041667
13.2989,0.044643
13.3553,0.046131
13.4117,0.047619
13.4680,0.047619
13.5244,0.047619
