# source: /Users/mac/Documents/MOF/img/anie.202307646/anie.202307646_s5a.png
# doi: 10.1002/anie.202307646  figure: Figure S5A
# legend: (EA)RbBiBr-cal  (match: colour)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1958,0.062386
5.2336,0.062386
5.2713,0.062386
5.3091,0.062386
5.3469,0.062386
5.3846,0.062386
5.4224,0.062386
5.4601,0.062386
5.4979,0.062386
5.5356,0.062386
5.5734,0.062386
5.6111,0.062386
5.6489,0.062386
5.6866,0.062386
5.7244,0.062386
5.7621,0.062386
5.7999,0.062386
5.8377,0.062386
5.8754,0.062386
5.9132,0.062386
5.9509,0.062386
5.9887,0.062386
6.0264,0.062386
6.0642,0.062386
6.1019,0.062386
6.1397,0.062386
6.1774,0.062386
6.2152,0.062386
6.2529,0.062386
6.2907,0.062386
6.3285,0.062386
6.3662,0.062386
6.4040,0.062386
6.4417,0.062386
6.4795,0.062386
6.5172,0.062386
6.5550,0.062386
6.5927,0.062386
6.6305,0.062386
6.6682,0.062386
6.7060,0.062386
6.7437,0.062386
6.7815,0.062386
6.8192,0.062386
6.8570,0.062386
6.8948,0.062386
6.9325,0.062386
6.9703,0.062386
7.0080,0.062386
7.0458,0.062386
7.0835,0.062386
7.1213,0.062386
7.1590,0.062386
7.1968,0.062386
7.2345,0.062386
7.2723,0.062386
7.3100,0.062386
7.3478,0.062386
7.3856,0.062386
7.4233,0.062386
7.4611,0.062386
7.4988,0.062386
7.5366,0.062386
7.5743,0.062386
7.6121,0.062386
7.6498,0.062386
7.6876,0.062386
7.7253,0.062386
7.7631,0.062386
7.8008,0.062386
7.8386,0.062386
7.8764,0.062386
7.9141,0.062386
7.9519,0.062386
7.9896,0.062386
8.0274,0.062386
8.0651,0.062386
8.1029,0.062386
8.1406,0.062386
8.1784,0.062386
8.2161,0.062386
8.2539,0.062386
8.2916,0.062386
8.3294,0.062386
8.3671,0.062386
8.4049,0.062386
8.4427,0.062386
8.4804,0.062386
8.5182,0.062386
8.5559,0.062386
8.5937,0.062386
8.6314,0.062386
8.6692,0.062386
8.7069,0.062386
8.7447,0.062386
8.7824,0.062386
8.8202,0.062386
8.8579,0.062386
8.8957,0.062386
8.9335,0.062386
8.9712,0.062386
9.0090,0.062386
9.0467,0.062386
9.0845,0.062386
9.1222,0.062386
9.1600,0.062386
9.1977,0.062386
9.2355,0.062386
9.2732,0.062386
9.3110,0.062386
9.3487,0.062386
9.3865,0.062386
9.4243,0.062386
9.4620,0.062386
9.4998,0.062386
9.5375,0.062386
9.5753,0.062386
9.6130,0.062386
9.6508,0.062386
9.6885,0.062386
9.7263,0.062386
9.7640,0.062386
9.8018,0.062386
9.8395,0.062386
9.8773,0.064208
9.9150,0.064208
9.9528,0.064208
9.9906,0.064208
10.0283,0.064208
10.0661,0.064208
10.1038,0.064208
10.1416,0.064208
10.1793,0.066029
10.2171,0.066029
10.2548,0.071038
10.2926,0.071038
10.3303,0.066940
10.3681,0.080146
10.4058,0.162113
10.4436,0.162113
10.4814,0.081512
10.5191,0.349727
10.5569,0.125228
10.5946,0.395264
10.6324,0.397086
10.6701,0.397086
10.7079,0.397086
10.7456,0.397086
10.7834,0.136157
10.8211,0.395264
10.8589,0.092441
10.8966,0.162113
10.9344,0.068761
10.9722,0.102004
11.0099,0.065118
11.0477,0.072860
11.0854,0.066029
11.1232,0.066029
11.1609,0.065118
11.1987,0.065118
11.2364,0.064208
11.2742,0.064208
11.3119,0.064208
11.3497,0.064208
11.3874,0.064208
11.4252,0.064208
11.4630,0.064208
11.5007,0.064208
11.5385,0.064208
11.5762,0.064208
11.6140,0.064208
11.6517,0.064208
11.6895,0.064208
11.7272,0.064208
11.7650,0.064208
11.8027,0.064208
11.8405,0.065118
11.8782,0.065118
11.9160,0.066940
11.9537,0.066940
11.9915,0.067851
12.0293,0.067851
12.0670,0.067851
12.1048,0.074681
12.1425,0.068761
12.1803,0.081967
12.2180,0.070583
12.2558,0.111111
12.2935,0.245902
12.3313,0.245902
12.3690,0.109745
12.4068,0.947177
12.4445,0.437614
12.4823,0.950820
12.5201,0.286430
12.5578,0.950820
12.5956,0.437614
12.6333,0.950820
12.6711,0.947177
12.7088,0.947177
12.7466,0.217213
12.7843,0.313297
12.8221,0.099727
12.8598,0.109745
12.8976,0.409836
12.9353,0.409836
12.9731,0.409836
13.0109,0.409836
13.0486,0.263661
13.0864,0.409836
13.1241,0.151639
13.1619,0.382514
13.1996,0.200364
13.2374,0.200364
13.2751,0.074226
13.3129,0.089253
13.3506,0.069672
13.3884,0.074681
13.4261,0.066940
13.4639,0.072860
13.5016,0.074226
13.5394,0.080146
13.5772,0.069672
13.6149,0.092896
13.6527,0.079690
13.6904,0.094718
13.7282,0.094718
13.7659,0.094718
13.8037,0.077869
13.8414,0.092896
13.8792,0.069672
13.9169,0.066940
13.9547,0.066029
13.9924,0.066029
14.0302,0.063297
14.0680,0.063297
14.1057,0.063297
14.1435,0.063297
14.1812,0.063297
14.2190,0.063297
14.2567,0.064208
14.2945,0.064208
14.3322,0.063297
14.3700,0.063297
14.4077,0.062386
14.4455,0.062386
14.4832,0.062386
14.5210,0.062386
14.5588,0.062386
14.5965,0.062386
14.6343,0.062386
14.6720,0.062386
14.7098,0.062386
14.7475,0.062386
14.7853,0.062386
14.8230,0.062386
14.8608,0.062386
14.8985,0.062386
14.9363,0.062386
14.9740,0.062386
15.0118,0.062386
15.0495,0.062386
15.0873,0.062386
15.1251,0.062386
15.1628,0.062386
15.2006,0.062386
15.2383,0.062386
15.2761,0.062386
15.3138,0.063297
15.3516,0.063297
15.3893,0.063297
15.4271,0.063297
15.4648,0.064208
15.5026,0.064208
15.5403,0.064208
15.5781,0.064208
15.6159,0.064208
15.6536,0.064208
15.6914,0.064208
15.7291,0.064208
15.7669,0.064208
15.8046,0.064208
15.8424,0.065118
15.8801,0.065118
15.9179,0.066029
15.9556,0.066029
15.9934,0.068761
16.0311,0.072860
16.0689,0.066940
16.1067,0.089253
16.1444,0.068761
16.1822,0.238616
16.2199,0.273224
16.2577,0.273224
16.2954,0.168033
16.3332,0.275046
16.3709,0.275046
16.4087,0.275046
16.4464,0.189891
16.4842,0.273224
16.5219,0.136157
16.5597,0.242259
16.5974,0.134335
16.6352,0.132969
16.6730,0.107013
16.7107,0.131148
16.7485,0.076047
16.7862,0.129326
16.8240,0.069672
16.8617,0.089253
