# source: /Users/mac/Documents/MOF/img/anie.202306048/anie.202306048_s13.png
# doi: 10.1002/anie.202306048  figure: Figure S13
# legend: 1b  (match: colour)
# x: 2-Theat (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.7425,0.353423
5.7989,0.268601
5.8553,0.215774
5.9117,0.214286
5.9680,0.212798
6.0244,0.212798
6.0808,0.211310
6.1372,0.211310
6.1936,0.211310
6.2500,0.210565
6.3064,0.210565
6.3628,0.210565
6.4192,0.210565
6.4756,0.210565
6.5320,0.210565
6.5883,0.210565
6.6447,0.210565
6.7011,0.210565
6.7575,0.210565
6.8139,0.210565
6.8703,0.210565
6.9267,0.210565
6.9831,0.210565
7.0395,0.209077
7.0959,0.209077
7.1523,0.210565
7.2086,0.210565
7.2650,0.215030
7.3214,0.231399
7.3778,0.234375
7.4342,0.234375
7.4906,0.235863
7.5470,0.234375
7.6034,0.234375
7.6598,0.231399
7.7162,0.216518
7.7726,0.210565
7.8289,0.210565
7.8853,0.210565
7.9417,0.210565
7.9981,0.210565
8.0545,0.210565
8.1109,0.210565
8.1673,0.210565
8.2237,0.210565
8.2801,0.210565
8.3365,0.210565
8.3929,0.212054
8.4492,0.212054
8.5056,0.212054
8.5620,0.213542
8.6184,0.215030
8.6748,0.220982
8.7312,0.228423
8.7876,0.237351
8.8440,0.256696
8.9004,0.401042
8.9568,0.427827
9.0132,0.427827
9.0695,0.415923
9.1259,0.406994
9.1823,0.402530
9.2387,0.401042
9.2951,0.399554
9.3515,0.365327
9.4079,0.286458
9.4643,0.286458
9.5207,0.259673
9.5771,0.232887
9.6335,0.219494
9.6898,0.216518
9.7462,0.213542
9.8026,0.212054
9.8590,0.212054
9.9154,0.212054
9.9718,0.210565
10.0282,0.210565
10.0846,0.210565
10.1410,0.210565
10.1974,0.210565
10.2538,0.210565
10.3102,0.210565
10.3665,0.210565
10.4229,0.210565
10.4793,0.210565
10.5357,0.210565
10.5921,0.213542
10.6485,0.220982
10.7049,0.232887
10.7613,0.244792
10.8177,0.258185
10.8741,0.261161
10.9305,0.261161
10.9868,0.261161
11.0432,0.261161
11.0996,0.259673
11.1560,0.255208
11.2124,0.219494
11.2688,0.213542
11.3252,0.216518
11.3816,0.218006
11.4380,0.222470
11.4944,0.232887
11.5508,0.276786
11.6071,0.412946
11.6635,0.414435
11.7199,0.414435
11.7763,0.411458
11.8327,0.402530
11.8891,0.392113
11.9455,0.389137
12.0019,0.387649
12.0583,0.347470
12.1147,0.270089
12.1711,0.235863
12.2274,0.222470
12.2838,0.220982
12.3402,0.235863
12.3966,0.247768
12.4530,0.247768
12.5094,0.249256
12.5658,0.249256
12.6222,0.247768
12.6786,0.243304
12.7350,0.225446
12.7914,0.213542
12.8477,0.215030
12.9041,0.223958
12.9605,0.225446
13.0169,0.225446
13.0733,0.225446
13.1297,0.225446
13.1861,0.223958
13.2425,0.218006
13.2989,0.212054
13.3553,0.210565
13.4117,0.210565
13.4680,0.210565
13.5244,0.210565
13.5808,0.210565
13.6372,0.212054
13.6936,0.218006
13.7500,0.247768
13.8064,0.271577
13.8628,0.273065
13.9192,0.274554
13.9756,0.274554
14.0320,0.273065
14.0883,0.273065
14.1447,0.247768
14.2011,0.223958
14.2575,0.215030
14.3139,0.213542
14.3703,0.213542
14.4267,0.216518
14.4831,0.216518
14.5395,0.219494
14.5959,0.229911
14.6523,0.240327
14.7086,0.259673
14.7650,0.393601
14.8214,0.395089
14.8778,0.398065
14.9342,0.411458
14.9906,0.426339
15.0470,0.454613
15.1034,0.454613
15.1598,0.429315
15.2162,0.412946
15.2726,0.304315
15.3289,0.262649
15.3853,0.235863
15.4417,0.228423
15.4981,0.228423
15.5545,0.276042
15.6109,0.389137
15.6673,0.404018
15.7237,0.414435
15.7801,0.414435
15.8365,0.409970
15.8929,0.406994
15.9492,0.405506
16.0056,0.405506
16.0620,0.377232
16.1184,0.298363
16.1748,0.286458
16.2312,0.273065
16.2876,0.243304
16.3440,0.235863
16.4004,0.238839
16.4568,0.238839
16.5132,0.240327
16.5695,0.238839
16.6259,0.238839
16.6823,0.237351
16.7387,0.237351
16.7951,0.235863
16.8515,0.226935
16.9079,0.216518
16.9643,0.212054
17.0207,0.210565
17.0771,0.210565
17.1335,0.210565
17.1898,0.210565
17.2462,0.210565
17.3026,0.210565
17.3590,0.210565
17.4154,0.212054
17.4718,0.213542
17.5282,0.231399
17.5846,0.250744
17.6410,0.255208
17.6974,0.256696
17.7538,0.256696
17.8102,0.255208
17.8665,0.255208
17.9229,0.247768
17.9793,0.304315
18.0357,0.319196
18.0921,0.320685
18.1485,0.320685
18.2049,0.320685
18.2613,0.319196
18.3177,0.317708
18.3741,0.277530
18.4305,0.253720
18.4868,0.252232
18.5432,0.243304
18.5996,0.275298
18.6560,0.296875
18.7124,0.299851
18.7688,0.301339
18.8252,0.299851
18.8816,0.299851
18.9380,0.307292
18.9944,0.408482
19.0508,0.408482
19.1071,0.405506
19.1635,0.396577
19.2199,0.390625
19.2763,0.387649
19.3327,0.384673
19.3891,0.383185
19.4455,0.255208
19.5019,0.253720
19.5583,0.253720
19.6147,0.252232
19.6711,0.235863
19.7274,0.215030
19.7838,0.213542
19.8402,0.219494
19.8966,0.237351
19.9530,0.261161
20.0094,0.265625
20.0658,0.267113
20.1222,0.267113
20.1786,0.265625
20.2350,0.264137
20.2914,0.256696
20.3477,0.259673
20.4041,0.259673
20.4605,0.259673
20.5169,0.259673
20.5733,0.258185
20.6297,0.252232
20.6861,0.243304
20.7425,0.225446
20.7989,0.212054
20.8553,0.213542
20.9117,0.215030
20.9680,0.219494
21.0244,0.234375
21.0808,0.252232
21.1372,0.290923
21.1936,0.301339
21.2500,0.302827
21.3064,0.302827
21.3628,0.302827
21.4192,0.301339
21.4756,0.296875
21.5320,0.258185
21.5883,0.258185
21.6447,0.258185
21.7011,0.280506
21.7575,0.281994
21.8139,0.281994
21.8703,0.281994
21.9267,0.281994
21.9831,0.280506
22.0395,0.271577
22.0959,0.268601
22.1523,0.234375
22.2086,0.222470
22.2650,0.218006
22.3214,0.223958
22.3778,0.235863
22.4342,0.328125
22.4906,0.406994
22.5470,0.405506
22.6034,0.405506
22.6598,0.404018
22.7162,0.402530
22.7726,0.402530
22.8289,0.390625
22.8853,0.289435
22.9417,0.245536
22.9981,0.276042
23.0545,0.331101
23.1109,0.383185
23.1673,0.387649
23.2237,0.387649
23.2801,0.386161
23.3365,0.384673
23.3929,0.384673
23.4492,0.384673
23.5056,0.319196
23.5620,0.258185
23.6184,0.280506
23.6748,0.283482
23.7312,0.284970
23.7876,0.284970
23.8440,0.284970
23.9004,0.284970
23.9568,0.281994
24.0132,0.247768
24.0695,0.247768
24.1259,0.244792
24.1823,0.237351
24.2387,0.213542
24.2951,0.212054
24.3515,0.212054
24.4079,0.212054
24.4643,0.212054
24.5207,0.212054
24.5771,0.213542
24.6335,0.218006
24.6898,0.223958
24.7462,0.226935
24.8026,0.235863
24.8590,0.240327
24.9154,0.259673
24.9718,0.366815
25.0282,0.421875
25.0846,0.417411
25.1410,0.417411
25.1974,0.415923
25.2538,0.415923
25.3102,0.415923
25.3665,0.417411
25.4229,0.418899
25.4793,0.429315
25.5357,0.429315
25.5921,0.406994
25.6485,0.399554
25.7049,0.320685
25.7613,0.246280
25.8177,0.246280
25.8741,0.267113
25.9305,0.287946
25.9868,0.287946
26.0432,0.289435
26.0996,0.289435
26.1560,0.287946
26.2124,0.283482
26.2688,0.258185
26.3252,0.244792
26.3816,0.243304
26.4380,0.252232
26.4944,0.255208
