# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_s3.png
# doi: 10.1002/anie.202305246  figure: Figure S3
# legend: pH 7  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.1206,0.631341
3.1560,0.624094
3.1915,0.624094
3.2270,0.620471
3.2624,0.613225
3.2979,0.598732
3.3333,0.602355
3.3688,0.598732
3.4043,0.596920
3.4397,0.581522
3.4752,0.582428
3.5106,0.581522
3.5461,0.572464
3.5816,0.568841
3.6170,0.568841
3.6525,0.570652
3.6879,0.567029
3.7234,0.566123
3.7589,0.555254
3.7943,0.557065
3.8298,0.553442
3.8652,0.554348
3.9007,0.548913
3.9362,0.547101
3.9716,0.548007
4.0071,0.548007
4.0426,0.548913
4.0780,0.544384
4.1135,0.544384
4.1489,0.541667
4.1844,0.544384
4.2199,0.544384
4.2553,0.544384
4.2908,0.547101
4.3262,0.547101
4.3617,0.557065
4.3972,0.587862
4.4326,0.590580
4.4681,0.604167
4.5035,0.590580
4.5390,0.651268
4.5745,0.676630
4.6099,0.656703
4.6454,0.696558
4.6809,0.656703
4.7163,0.642210
4.7518,0.615036
4.7872,0.582428
4.8227,0.582428
4.8582,0.566123
4.8936,0.541667
4.9291,0.541667
4.9645,0.539855
5.0000,0.539855
5.0355,0.540761
5.0709,0.541667
5.1064,0.539855
5.1418,0.539855
5.1773,0.540761
5.2128,0.542572
5.2482,0.544384
5.2837,0.543478
5.3191,0.545290
5.3546,0.628623
5.3901,0.628623
5.4255,0.606884
5.4610,0.634964
5.4965,0.644022
5.5319,0.607790
5.5674,0.634964
5.6028,0.630435
5.6383,0.573370
5.6738,0.558877
5.7092,0.548007
5.7447,0.540761
5.7801,0.538949
5.8156,0.535326
5.8511,0.531703
5.8865,0.529891
5.9220,0.528080
5.9574,0.526268
5.9929,0.524457
6.0284,0.523551
6.0638,0.523551
6.0993,0.523551
6.1348,0.523551
6.1702,0.523551
6.2057,0.523551
6.2411,0.525362
6.2766,0.531703
6.3121,0.537138
6.3475,0.539855
6.3830,0.549819
6.4184,0.569746
6.4539,0.571558
6.4894,0.548913
6.5248,0.522645
6.5603,0.519928
6.5957,0.526268
6.6312,0.521739
6.6667,0.521739
6.7021,0.521739
6.7376,0.519022
6.7730,0.519022
6.8085,0.520833
6.8440,0.520833
6.8794,0.516304
6.9149,0.516304
6.9504,0.516304
6.9858,0.516304
7.0213,0.516304
7.0567,0.516304
7.0922,0.516304
7.1277,0.516304
7.1631,0.517210
7.1986,0.519022
7.2340,0.519022
7.2695,0.517210
7.3050,0.517210
7.3404,0.517210
7.3759,0.516304
7.4113,0.517210
7.4468,0.517210
7.4823,0.516304
7.5177,0.516304
7.5532,0.516304
7.5887,0.516304
7.6241,0.515399
7.6596,0.515399
7.6950,0.515399
7.7305,0.515399
7.7660,0.516304
7.8014,0.516304
7.8369,0.516304
7.8723,0.514493
7.9078,0.514493
7.9433,0.515399
7.9787,0.516304
8.0142,0.516304
8.0496,0.520833
8.0851,0.520833
8.1206,0.526268
8.1560,0.518116
8.1915,0.523551
8.2270,0.526268
8.2624,0.515399
8.2979,0.515399
8.3333,0.514493
