# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s24.png
# doi: 10.1002/anie.202308034  figure: Figure S24
# legend: 140 °℃  (match: colour+geometry)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2027,0.321561
5.2703,0.320632
5.3378,0.319703
5.4054,0.319703
5.4730,0.320632
5.5405,0.320632
5.6081,0.322491
5.6757,0.328996
5.7432,0.328996
5.8108,0.328996
5.8784,0.327138
5.9459,0.325279
6.0135,0.316914
6.0811,0.316914
6.1486,0.315985
6.2162,0.316914
6.2838,0.316914
6.3514,0.316914
6.4189,0.316914
6.4865,0.316914
6.5541,0.317844
6.6216,0.317844
6.6892,0.316914
6.7568,0.316914
6.8243,0.316914
6.8919,0.316914
6.9595,0.316914
7.0270,0.316914
7.0946,0.316914
7.1622,0.316914
7.2297,0.318773
7.2973,0.319703
7.3649,0.319703
7.4324,0.319703
7.5000,0.318773
7.5676,0.318773
7.6351,0.318773
7.7027,0.317844
7.7703,0.317844
7.8378,0.318773
7.9054,0.319703
7.9730,0.318773
8.0405,0.318773
8.1081,0.318773
8.1757,0.318773
8.2432,0.316914
8.3108,0.316914
8.3784,0.316914
8.4459,0.319703
8.5135,0.318773
8.5811,0.318773
8.6486,0.318773
8.7162,0.327138
8.7838,0.332714
8.8514,0.334572
8.9189,0.334572
8.9865,0.332714
9.0541,0.332714
9.1216,0.327138
9.1892,0.317844
9.2568,0.317844
9.3243,0.317844
9.3919,0.317844
9.4595,0.315985
9.5270,0.316914
9.5946,0.316914
9.6622,0.316914
9.7297,0.317844
9.7973,0.318773
9.8649,0.319703
9.9324,0.347584
10.0000,0.323420
10.0676,0.433086
10.1351,0.352230
10.2027,0.433086
10.2703,0.352230
10.3378,0.418216
10.4054,0.379182
10.4730,0.377323
10.5405,0.316914
10.6081,0.318773
10.6757,0.317844
10.7432,0.317844
10.8108,0.317844
10.8784,0.318773
10.9459,0.317844
11.0135,0.318773
11.0811,0.319703
11.1486,0.318773
11.2162,0.317844
11.2838,0.321561
11.3514,0.351301
11.4189,0.353160
11.4865,0.339219
11.5541,0.351301
11.6216,0.349442
11.6892,0.371747
11.7568,0.345725
11.8243,0.325279
11.8919,0.330855
11.9595,0.369888
12.0270,0.328996
12.0946,0.320632
12.1622,0.319703
12.2297,0.318773
12.2973,0.318773
12.3649,0.320632
12.4324,0.319703
12.5000,0.319703
12.5676,0.319703
12.6351,0.318773
12.7027,0.318773
12.7703,0.317844
12.8378,0.317844
12.9054,0.317844
12.9730,0.316914
13.0405,0.316914
13.1081,0.317844
13.1757,0.316914
13.2432,0.316914
13.3108,0.316914
13.3784,0.315056
13.4459,0.315056
13.5135,0.315056
13.5811,0.315056
13.6486,0.317844
13.7162,0.327138
13.7838,0.321561
13.8514,0.328996
13.9189,0.328996
13.9865,0.327138
14.0541,0.316914
14.1216,0.317844
14.1892,0.328996
14.2568,0.368030
14.3243,0.328996
14.3919,0.460967
14.4595,0.460967
14.5270,0.460967
14.5946,0.329926
14.6622,0.459108
14.7297,0.332714
14.7973,0.318773
14.8649,0.317844
14.9324,0.317844
15.0000,0.317844
15.0676,0.316914
15.1351,0.317844
15.2027,0.316914
15.2703,0.318773
15.3378,0.319703
15.4054,0.319703
15.4730,0.318773
15.5405,0.325279
15.6081,0.328996
15.6757,0.325279
15.7432,0.328996
15.8108,0.328996
15.8784,0.325279
15.9459,0.318773
16.0135,0.318773
16.0811,0.319703
16.1486,0.318773
16.2162,0.317844
16.2838,0.318773
16.3514,0.318773
16.4189,0.317844
16.4865,0.316914
16.5541,0.317844
16.6216,0.317844
16.6892,0.318773
16.7568,0.319703
16.8243,0.325279
16.8919,0.324349
16.9595,0.325279
17.0270,0.324349
17.0946,0.325279
17.1622,0.324349
17.2297,0.319703
17.2973,0.318773
17.3649,0.317844
17.4324,0.316914
17.5000,0.315985
17.5676,0.315056
17.6351,0.315985
17.7027,0.319703
17.7703,0.320632
17.8378,0.320632
17.9054,0.320632
17.9730,0.320632
18.0405,0.320632
18.1081,0.325279
18.1757,0.366171
