# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_f1b.png
# doi: 10.1002/anie.202305246  figure: Figure 1B
# legend: Fe,Ni-MOF  (match: geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.8278,0.449275
3.8645,0.448240
3.9012,0.448240
3.9378,0.448240
3.9745,0.448240
4.0112,0.448240
4.0479,0.444099
4.0845,0.443064
4.1212,0.442029
4.1579,0.442029
4.1946,0.442029
4.2313,0.442029
4.2679,0.449275
4.3046,0.450311
4.3413,0.455487
4.3780,0.563147
4.4147,0.564182
4.4513,0.635611
4.4880,0.940994
4.5247,0.942029
4.5614,0.942029
4.5981,0.982402
4.6347,0.982402
4.6714,0.982402
4.7081,0.547619
4.7448,0.547619
4.7815,0.546584
4.8181,0.428571
4.8548,0.427536
4.8915,0.426501
4.9282,0.422360
4.9649,0.421325
5.0015,0.420290
5.0382,0.417184
5.0749,0.417184
5.1116,0.417184
5.1483,0.420290
5.1849,0.420290
5.2216,0.420290
5.2583,0.761905
5.2950,0.761905
5.3317,0.761905
5.3683,0.789855
5.4050,0.789855
5.4417,0.789855
5.4784,0.786749
5.5151,0.786749
5.5517,0.786749
5.5884,0.631470
5.6251,0.631470
5.6618,0.631470
5.6985,0.479296
5.7351,0.479296
5.7718,0.479296
5.8085,0.479296
5.8452,0.479296
5.8819,0.479296
5.9185,0.469979
5.9552,0.469979
5.9919,0.469979
6.0286,0.407867
6.0653,0.407867
6.1019,0.407867
6.1386,0.395445
6.1753,0.395445
6.2120,0.395445
6.2487,0.625259
6.2853,0.625259
6.3220,0.625259
6.3587,0.668737
6.3954,0.668737
6.4321,0.668737
6.4687,0.665631
6.5054,0.665631
6.5421,0.665631
6.5788,0.395445
6.6155,0.395445
6.6521,0.395445
6.6888,0.389234
6.7255,0.389234
6.7622,0.389234
6.7989,0.389234
6.8355,0.389234
6.8722,0.389234
6.9089,0.389234
6.9456,0.389234
6.9823,0.389234
7.0189,0.383023
7.0556,0.383023
7.0923,0.383023
7.1290,0.383023
7.1657,0.383023
7.2023,0.383023
7.2390,0.383023
7.2757,0.383023
7.3124,0.383023
7.3491,0.392340
7.3857,0.392340
7.4224,0.392340
7.4591,0.401656
7.4958,0.401656
7.5325,0.401656
7.5691,0.407867
7.6058,0.407867
7.6425,0.407867
7.6792,0.410973
7.7159,0.410973
7.7525,0.410973
7.7892,0.404762
7.8259,0.404762
7.8626,0.404762
7.8993,0.379917
7.9359,0.379917
7.9726,0.379917
8.0093,0.386128
8.0460,0.386128
8.0827,0.386128
8.1193,0.386128
8.1560,0.386128
8.1927,0.386128
8.2294,0.383023
8.2661,0.383023
8.3027,0.383023
8.3394,0.379917
8.3761,0.379917
8.4128,0.379917
8.4495,0.376812
8.4861,0.376812
8.5228,0.376812
8.5595,0.389234
8.5962,0.389234
8.6329,0.389234
8.6695,0.398551
8.7062,0.398551
8.7429,0.398551
8.7796,0.398551
8.8163,0.398551
8.8529,0.398551
8.8896,0.379917
8.9263,0.379917
8.9630,0.379917
8.9997,0.379917
9.0363,0.379917
9.0730,0.379917
9.1097,0.401656
9.1464,0.401656
9.1831,0.401656
9.2197,0.314700
9.2564,0.314700
9.2931,0.314700
9.3298,0.302277
9.3665,0.302277
9.4031,0.302277
9.4398,0.302277
9.4765,0.302277
9.5132,0.302277
9.5499,0.299172
9.5865,0.299172
9.6232,0.299172
9.6599,0.299172
9.6966,0.299172
9.7333,0.299172
9.7699,0.302277
