# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_0
# technique: photoluminescence  material: [CuCl2(pyridine-3-carbonitrile)2]n
# series: [CuCl2(pyridine-3-carbonitrile)2]n (complex 1) — emission  (experimental)
# x: (a)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
226.01351,0.074959
226.35135,0.074959
226.68919,0.078254
227.02703,0.079901
227.36486,0.074959
227.70270,0.088138
228.04054,0.079901
228.37838,0.091433
228.71622,0.088138
229.05405,0.088138
229.39189,0.096925
229.72973,0.105711
230.06757,0.114498
230.40541,0.116145
230.74324,0.121087
231.08108,0.122735
231.41892,0.116145
231.75676,0.131796
232.09459,0.139209
232.43243,0.139209
232.77027,0.131796
233.10811,0.145799
233.44595,0.140033
233.78378,0.150741
234.12162,0.145799
234.45946,0.162273
234.79730,0.167216
235.13514,0.168863
235.47297,0.162273
235.81081,0.172158
236.14865,0.182867
236.48649,0.182867
236.82432,0.182043
237.16216,0.183690
237.50000,0.193575
237.83784,0.195222
238.17568,0.203460
238.51351,0.204283
238.85135,0.195222
239.18919,0.210049
239.52703,0.204283
239.86486,0.222405
240.20270,0.229819
240.54054,0.231466
240.87838,0.222405
241.21622,0.236409
241.55405,0.231466
241.89189,0.242998
242.22973,0.252883
242.56757,0.252059
242.90541,0.262768
243.24324,0.262768
243.58108,0.275947
243.91892,0.275947
244.25676,0.282537
244.59459,0.284185
244.93243,0.275947
245.27027,0.297364
245.60811,0.284185
245.94595,0.305601
246.28378,0.297364
246.62162,0.315486
246.95946,0.328666
247.29730,0.328666
247.63514,0.341845
247.97297,0.341845
248.31081,0.355025
248.64865,0.355025
248.98649,0.381384
249.32432,0.378089
249.66216,0.381384
250.00000,0.381384
250.33784,0.378089
250.67568,0.399506
251.01351,0.407743
251.35135,0.407743
251.68919,0.399506
252.02703,0.429160
252.36486,0.437397
252.70270,0.439044
253.04054,0.429160
253.37838,0.458814
253.71622,0.474465
254.05405,0.475288
254.39189,0.458814
254.72973,0.493410
255.06757,0.475288
255.40541,0.510708
255.74324,0.520593
256.08108,0.520593
256.41892,0.510708
256.75676,0.541186
257.09459,0.521417
257.43243,0.557661
257.77027,0.573311
258.10811,0.573311
258.44595,0.557661
258.78378,0.592257
259.12162,0.609555
259.45946,0.609555
259.79730,0.644975
260.13514,0.643328
260.47297,0.658155
260.81081,0.658155
261.14865,0.643328
261.48649,0.682867
261.82432,0.658155
262.16216,0.704283
262.50000,0.682867
262.83784,0.728995
263.17568,0.704283
263.51351,0.753707
263.85135,0.728995
264.18919,0.781713
264.52703,0.799835
264.86486,0.793245
265.20270,0.781713
265.54054,0.799835
265.87838,0.813015
266.21622,0.783361
266.55405,0.799835
266.89189,0.770181
267.22973,0.783361
267.56757,0.783361
267.90541,0.770181
268.24324,0.776771
268.58108,0.776771
268.91892,0.776771
269.25676,0.780066
269.59459,0.771829
269.93243,0.776771
270.27027,0.770181
270.60811,0.773476
270.94595,0.761944
271.28378,0.770181
271.62162,0.770181
271.95946,0.761944
272.29730,0.735585
272.63514,0.750412
272.97297,0.719110
273.31081,0.735585
273.64865,0.691104
273.98649,0.719110
274.32432,0.688633
274.66216,0.691928
275.00000,0.691928
275.33784,0.669687
275.67568,0.632619
276.01351,0.635091
276.35135,0.635914
276.68919,0.612026
277.02703,0.612026
277.36486,0.575783
277.70270,0.498353
278.04054,0.539539
278.37838,0.471993
278.71622,0.498353
279.05405,0.500000
279.39189,0.471993
279.72973,0.401153
280.06757,0.427512
280.40541,0.427512
280.74324,0.401153
281.08108,0.401153
281.41892,0.354201
281.75676,0.293245
282.09459,0.328666
282.43243,0.292422
282.77027,0.293245
283.10811,0.242998
283.44595,0.271829
283.78378,0.275947
284.12162,0.242998
284.45946,0.201812
284.79730,0.223229
285.13514,0.188633
285.47297,0.200988
285.81081,0.200988
286.14865,0.188633
286.48649,0.155684
286.82432,0.170511
287.16216,0.170511
287.50000,0.155684
287.83784,0.132619
288.17568,0.140857
288.51351,0.123558
288.85135,0.132619
289.18919,0.130972
289.52703,0.123558
289.86486,0.121087
290.20270,0.117792
290.54054,0.117792
290.87838,0.107908
291.21622,0.107908
291.55405,0.104613
291.89189,0.095552
292.22973,0.098023
292.56757,0.091433
292.90541,0.095552
293.24324,0.089786
293.58108,0.093081
293.91892,0.091433
294.25676,0.089786
294.59459,0.089786
294.93243,0.084843
295.27027,0.084843
295.60811,0.081549
295.94595,0.081549
296.28378,0.082372
296.62162,0.078254
296.95946,0.078254
297.29730,0.078254
297.63514,0.079901
297.97297,0.074959
298.31081,0.074959
298.64865,0.074959
298.98649,0.076606
299.32432,0.073311
299.66216,0.071664
300.00000,0.071664
300.33784,0.071664
300.67568,0.070016
301.01351,0.070016
301.35135,0.070840
